Name,Professional Suffixes,Primary Specialty,WCM Find A Doctor URL,Accepting New Patients,Video Visits Avaliable,Languages,Zip Code,Country_ISO3166_alpha2,Latitude,Longitude,Accepted Insurance,Address
Julie Lynn (Friedman) Marcus,M.D.,Cardiology,https://weillcornell.org/julie-lynn-friedman-marcus-md,Yes,Yes,English,10021,US,40.7685,-73.9527,"AETNA HMO,AETNA Medicare,AETNA PPO,Aetna - NYP EPO/POS,Aetna Weill Cornell Employee Managed Care Plan ,Aetna Weill Cornell Employee PPO Plan ,Affinity Access ,Affinity Health Plan ,AgeWell New York ,Amida Care ,CIGNA ,Emblem Select Care ,Empire Blue Cross/Blue Shield Blue Access,Empire Blue Cross/Blue Shield Blue Connection,Empire Blue Cross/Blue Shield EPO,Empire Blue Cross/Blue Shield HMO,Empire Blue Cross/Blue Shield Mediblue (Senior),Empire Blue Cross/Blue Shield PPO,Empire Blue Cross/Blue Shield HealthPlus ,Empire Blue Cross/Blue Shield HealthPlus CHP,Fidelis Care ,GHI CBP,Health First ,Health Insurance Plan of NY (HIP) ,Health Insurance Plan of NY (HIP) Medicaid,Health Insurance Plan of NY (HIP) Medicare,Medicaid ,Medicare ,Oxford Health Plans Freedom,Oxford Health Plans Liberty,Oxford Health Plans Medicare Advantage,Oxford Health Plans Metro/Core/Charter,Rockefeller University - Trustmark ,United Empire ,United Healthcare ,United Healthcare Community Plan,United Healthcare Medicare,United Healthcare Compass ,VNSNY CHOICE HMO,VNSNY CHOICE Medicare,WellCare of NY ,WorldWide Medical ""","1305 York Avenue New York, NY 10021"
Jaime K. Aaronson,M.D.,Anesthesiology,https://weillcornell.org/jaaronson,No,No,English,10065,US,40.7649,-73.9569,"AETNA HMO,AETNA Medicare,AETNA PPO,Aetna - NYP EPO/POS,Aetna Weill Cornell Employee Managed Care Plan ,Aetna Weill Cornell Employee PPO Plan ,Affinity Access ,Affinity Health Plan ,AgeWell New York ,Amida Care ,CIGNA ,Emblem Select Care ,Empire Blue Cross/Blue Shield Blue Access,Empire Blue Cross/Blue Shield Blue Connection,Empire Blue Cross/Blue Shield EPO,Empire Blue Cross/Blue Shield HMO,Empire Blue Cross/Blue Shield Mediblue (Senior),Empire Blue Cross/Blue Shield PPO,Empire Blue Cross/Blue Shield HealthPlus ,Empire Blue Cross/Blue Shield HealthPlus CHP,Fidelis Care ,GHI CBP,Health First ,Health Insurance Plan of NY (HIP) ,Health Insurance Plan of NY (HIP) Medicaid,Health Insurance Plan of NY (HIP) Medicare,Medicaid ,Medicare ,Oxford Health Plans Freedom,Oxford Health Plans Liberty,Oxford Health Plans Medicare Advantage,Oxford Health Plans Metro/Core/Charter,Rockefeller University - Trustmark ,United Empire ,United Healthcare ,United Healthcare Community Plan,United Healthcare Medicare,United Healthcare Compass ,VNSNY CHOICE HMO,VNSNY CHOICE Medicare,WellCare of NY ,WorldWide Medical ""","525 East 68th Street New York, NY 10065"
Paul S. Aaronson,M.D.,N/A,https://weillcornell.org/paul-s-aaronsonmd-6520,No,N/A,English,11375,US,40.7209,-73.8527,No insurance information,"109-23 71st Road Forest Hills, NY 11375"
Juveria  Abdullah,,Hospital Medicine,https://weillcornell.org/juveria-abdullah-md,Yes,N/A,"Spanish, English",10021,US,40.7669,-73.9597,"AETNA HMO,AETNA Medicare,AETNA PPO,Aetna - NYP EPO/POS,Aetna Weill Cornell Employee Managed Care Plan ,Aetna Weill Cornell Employee PPO Plan ,Affinity Access ,Affinity Health Plan ,AgeWell New York ,Amida Care ,CIGNA ,Emblem Select Care ,Empire Blue Cross/Blue Shield Blue Access,Empire Blue Cross/Blue Shield Blue Connection,Empire Blue Cross/Blue Shield EPO,Empire Blue Cross/Blue Shield HMO,Empire Blue Cross/Blue Shield Mediblue (Senior),Empire Blue Cross/Blue Shield PPO,Empire Blue Cross/Blue Shield HealthPlus ,Empire Blue Cross/Blue Shield HealthPlus CHP,Fidelis Care ,GHI CBP,Health First ,Health Insurance Plan of NY (HIP) ,Health Insurance Plan of NY (HIP) Medicaid,Health Insurance Plan of NY (HIP) Medicare,Medicare ,Oxford Health Plans Freedom,Oxford Health Plans Liberty,Oxford Health Plans Medicare Advantage,Oxford Health Plans Metro/Core/Charter,Rockefeller University - Trustmark ,United Empire ,United Healthcare ,United Healthcare Community Plan,United Healthcare Medicare,United Healthcare Compass ,VNSNY CHOICE HMO,VNSNY CHOICE Medicare,WellCare of NY ,WorldWide Medical ""","436 East 69th Street New York, NY 10021"
Dina Kestenbaum Abell,M.D.,N/A,https://weillcornell.org/dina-kestenbaum-abellmd-5941,No,N/A,English,10065,US,40.7649,-73.9569,No insurance information,"525 East 68th Street New York, NY 10065"
Josyann  Abisaab,M.D.,Emergency Medicine,https://weillcornell.org/joa2011,Yes,No,"English, French, Arabic",10065,US,40.7649,-73.9569,"Aetna - NYP EPO/POS,Aetna Weill Cornell Employee Managed Care Plan ,Affinity Access ,AgeWell New York ,Amida Care ,Emblem Select Care ,Empire Blue Cross/Blue Shield Blue Access,Empire Blue Cross/Blue Shield Blue Connection,Empire Blue Cross/Blue Shield HealthPlus CHP,Medicaid ,Medicare ,Oxford Health Plans Metro/Core/Charter,United Empire ,United Healthcare Compass ,VNSNY CHOICE HMO,VNSNY CHOICE Medicare,WellCare of NY ,WorldWide Medical ""","525 East 68th Street New York, NY 10065"
Josyann  Abisaab,M.D.,Emergency Medicine,https://weillcornell.org/joa2011,Yes,No,"English, French, Arabic",10065,US,40.7649,-73.9569,"Aetna - NYP EPO/POS,Aetna Weill Cornell Employee Managed Care Plan ,Affinity Access ,AgeWell New York ,Amida Care ,Emblem Select Care ,Empire Blue Cross/Blue Shield Blue Access,Empire Blue Cross/Blue Shield Blue Connection,Empire Blue Cross/Blue Shield HealthPlus CHP,Medicaid ,Medicare ,Oxford Health Plans Metro/Core/Charter,United Empire ,United Healthcare Compass ,VNSNY CHOICE HMO,VNSNY CHOICE Medicare,WellCare of NY ,WorldWide Medical ""","525 East 68th Street New York, NY 10065"
Seena  Abraham,"M.B., B.S.",Pediatric Cardiology,https://weillcornell.org/sea9001,Yes,No,English,10065,US,40.7649,-73.9569,"Aetna - NYP EPO/POS,Aetna Weill Cornell Employee Managed Care Plan ,Affinity Access ,Amida Care ,Emblem Select Care ,Empire Blue Cross/Blue Shield Blue Access,Empire Blue Cross/Blue Shield Blue Connection,Empire Blue Cross/Blue Shield HealthPlus CHP,Medicaid ,Medicare ,Oxford Health Plans Metro/Core/Charter,United Healthcare Compass ,VNSNY CHOICE HMO,WellCare of NY ,WorldWide Medical ""","525 East 68th Street New York, NY 10065"
Sharon E. Abramovitz,M.D.,Anesthesiology,https://weillcornell.org/seabramovitz,No,N/A,English,10065,US,40.7649,-73.9569,"Aetna - NYP EPO/POS,Aetna Weill Cornell Employee Managed Care Plan ,Affinity Access ,AgeWell New York ,Amida Care ,Emblem Select Care ,Empire Blue Cross/Blue Shield Blue Access,Empire Blue Cross/Blue Shield Blue Connection,Empire Blue Cross/Blue Shield HealthPlus CHP,Medicaid ,Medicare ,Oxford Health Plans Metro/Core/Charter,United Healthcare Compass ,VNSNY CHOICE HMO,VNSNY CHOICE Medicare,WellCare of NY ,WorldWide Medical ""","525 East 68th Street New York, NY 10065"
Meira  Abramowitz,M.D.,Gastroenterology,https://weillcornell.org/mabramowitz,Yes,Yes,English,10065,US,40.7669,-73.9539,"AETNA HMO,AETNA Medicare,AETNA PPO,Aetna - NYP EPO/POS,Aetna Weill Cornell Employee Managed Care Plan ,Aetna Weill Cornell Employee PPO Plan ,Affinity Access ,Affinity Health Plan ,AgeWell New York ,Amida Care ,CIGNA ,Emblem Select Care ,Empire Blue Cross/Blue Shield Blue Access,Empire Blue Cross/Blue Shield Blue Connection,Empire Blue Cross/Blue Shield EPO,Empire Blue Cross/Blue Shield HMO,Empire Blue Cross/Blue Shield Mediblue (Senior),Empire Blue Cross/Blue Shield PPO,Empire Blue Cross/Blue Shield HealthPlus ,Empire Blue Cross/Blue Shield HealthPlus CHP,Fidelis Care ,GHI CBP,Health First ,Health Insurance Plan of NY (HIP) ,Health Insurance Plan of NY (HIP) Medicaid,Health Insurance Plan of NY (HIP) Medicare,Medicaid ,Medicare ,Oxford Health Plans Freedom,Oxford Health Plans Liberty,Oxford Health Plans Medicare Advantage,Oxford Health Plans Metro/Core/Charter,Rockefeller University - Trustmark ,United Empire ,United Healthcare ,United Healthcare Community Plan,United Healthcare Medicare,United Healthcare Compass ,VNSNY CHOICE HMO,VNSNY CHOICE Medicare,WellCare of NY ,WorldWide Medical ""","1283 York Avenue New York, NY 10065"
